sim,year,species_code,ess,value,in_out
3,2018,30060,ess_f,625.0223516620603,in
3,2014,30420,ess_f,246.4029970734937,in
3,2016,30420,ess_f,197.95775342795926,in
3,2018,30420,ess_f,321.9374589856534,in
3,2014,10110,ess_m,458.89152322881597,in
3,2016,10110,ess_m,627.3934087568476,in
3,2018,10110,ess_m,424.8740224411896,in
3,2014,10130,ess_m,495.29125693397066,in
3,2016,10130,ess_m,464.12557222784,in
3,2018,10130,ess_m,278.1767298972429,in
3,2014,21720,ess_m,760.8784945664561,in
3,2016,21720,ess_m,767.1154454054814,in
3,2018,21720,ess_m,391.60328221408264,in
3,2014,21740,ess_m,225.36407868461015,in
3,2016,21740,ess_m,28.902635511801748,in
3,2018,21740,ess_m,139.04000788595684,in
3,2014,21921,ess_m,334.21167271944637,in
3,2016,21921,ess_m,329.67061828317105,in
3,2018,21921,ess_m,213.92096054363614,in
3,2014,30020,ess_m,118.20454276924472,in
3,2016,30020,ess_m,69.27015944050193,in
3,2018,30020,ess_m,20.513949414516073,in
3,2014,30060,ess_m,741.2742353136177,in
3,2016,30060,ess_m,1510.48682047478,in
3,2018,30060,ess_m,806.648081347845,in
3,2014,30420,ess_m,127.41013307144898,in
3,2016,30420,ess_m,227.66913425970543,in
3,2018,30420,ess_m,471.3449369239361,in
3,2014,10110,ess_t,1469.0743916849435,in
3,2016,10110,ess_t,378.2049632150882,in
3,2018,10110,ess_t,1027.9015971933009,in
3,2014,10130,ess_t,592.4310460435452,in
3,2016,10130,ess_t,585.7118155728419,in
3,2018,10130,ess_t,1346.1290944816274,in
3,2014,21720,ess_t,1026.3138415355772,in
3,2016,21720,ess_t,1003.6413122520258,in
3,2018,21720,ess_t,888.6710723059841,in
3,2014,21740,ess_t,501.6126183017038,in
3,2016,21740,ess_t,80.13672503067664,in
3,2018,21740,ess_t,206.9495674243019,in
3,2014,21921,ess_t,525.6083319309546,in
3,2016,21921,ess_t,121.43827864401811,in
3,2018,21921,ess_t,447.11020442637204,in
3,2014,30020,ess_t,361.7392027953436,in
3,2016,30020,ess_t,383.9544564985883,in
3,2018,30020,ess_t,727.013879123812,in
3,2014,30060,ess_t,166.93752494935197,in
3,2016,30060,ess_t,3679.2712006307356,in
3,2018,30060,ess_t,904.8264798996682,in
3,2014,30420,ess_t,123.1059990161053,in
3,2016,30420,ess_t,333.8080694963164,in
3,2018,30420,ess_t,662.0857594780061,in
4,2014,10110,ess_f,564.3180967801773,in
4,2016,10110,ess_f,559.7405796583295,in
4,2018,10110,ess_f,1137.4434769399404,in
4,2014,10130,ess_f,498.439916814057,in
4,2016,10130,ess_f,174.47364590442098,in
4,2018,10130,ess_f,226.8924910577677,in
4,2014,21720,ess_f,693.4486437696287,in
4,2016,21720,ess_f,734.8811848490634,in
4,2018,21720,ess_f,693.3567593515669,in
4,2014,21740,ess_f,61.49866292675676,in
4,2016,21740,ess_f,155.2990403807422,in
4,2018,21740,ess_f,188.8295243476571,in
4,2014,21921,ess_f,340.81798273538186,in
4,2016,21921,ess_f,80.00026283492299,in
4,2018,21921,ess_f,68.16274022163657,in
4,2014,30020,ess_f,310.82668573821724,in
4,2016,30020,ess_f,64.9416337793381,in
4,2018,30020,ess_f,18.568581617732484,in
