year,species_code,comp_type,iss_age,base_iss_length,sub_iss_length,sub_samp,region,bin
2021,30060,total,361.6418621487421,225.75917431565517,225.77716331615204,t200,goa,2cm
2021,30420,female,109.99165941024197,95.5566488818068,95.43286085461727,t200,goa,2cm
2021,30420,male,117.91476706292818,222.2329968386138,222.61120851239775,t200,goa,2cm
2021,30420,total,212.67836274817003,211.4754643416937,211.52989465242615,t200,goa,2cm
2017,10110,female,365.47445752619063,2192.724490463955,2190.525456315033,t250,goa,2cm
2017,10110,male,160.17159725648375,1053.3528896018777,1052.9341436998718,t250,goa,2cm
2017,10110,total,487.6591691015669,2826.421459508814,2825.3206649104013,t250,goa,2cm
2017,10130,female,85.93039406440224,1086.4275010763993,1086.4275010763993,t250,goa,2cm
2017,10130,male,85.73410687617603,738.7471195731096,738.7471195731096,t250,goa,2cm
2017,10130,total,165.20000318204993,1353.2450815471152,1353.2450815471152,t250,goa,2cm
2017,10200,female,168.642243034442,715.0175847112644,715.0175847112644,t250,goa,2cm
2017,10200,male,126.68337625336696,290.70700334666776,290.70700334666776,t250,goa,2cm
2017,10200,total,271.3240272663539,715.0087741170513,715.0087741170513,t250,goa,2cm
2017,10261,female,138.29465487953672,512.0949427474757,512.0949427474757,t250,goa,2cm
2017,10261,male,69.33548445494388,308.2202690930671,308.2202690930671,t250,goa,2cm
2017,10261,total,172.96583311319586,676.8246633655874,676.8246633655874,t250,goa,2cm
2017,21720,female,82.21343138450607,371.3317409613704,371.3317409613704,t250,goa,2cm
2017,21720,male,66.1624692287256,314.7159996137621,314.7159996137621,t250,goa,2cm
2017,21720,total,114.05969651031856,506.5833539097507,506.5833539097507,t250,goa,2cm
2017,21740,female,14.430778767520946,41.552009901827695,41.55765990259378,t250,goa,2cm
2017,21740,male,17.32652193899438,39.98883936860125,39.97180209749788,t250,goa,2cm
2017,21740,total,17.410894044801214,48.9779458070415,48.97370731993891,t250,goa,2cm
2017,30060,female,179.6231934932155,204.0720323105729,204.0763608144785,t250,goa,2cm
2017,30060,male,163.25131757030908,151.41529213604727,151.41233035916247,t250,goa,2cm
2017,30060,total,294.25825818955184,236.5498121153435,236.5528825059184,t250,goa,2cm
2017,30420,female,101.8128128403138,51.59143753511781,51.59143753511781,t250,goa,2cm
2017,30420,male,82.26799255373456,116.15307985931514,116.15307985931514,t250,goa,2cm
2017,30420,total,170.43784122518255,102.81804415234956,102.81804415234956,t250,goa,2cm
2019,10110,female,377.85052112638976,3150.550826544353,3149.5790915482207,t250,goa,2cm
2019,10110,male,231.40170033915692,1782.116769349858,1781.232705879602,t250,goa,2cm
2019,10110,total,571.0314198719592,3774.140832433681,3774.3385023284527,t250,goa,2cm
2019,10130,female,68.76107884069278,652.9009221824431,652.8153397251049,t250,goa,2cm
2019,10130,male,80.61544801129395,415.1736540521792,415.2598129363363,t250,goa,2cm
2019,10130,total,135.7061877399974,681.9005617166981,681.9520659356926,t250,goa,2cm
2019,10200,female,201.8607651049365,799.0578046280199,799.0578046280199,t250,goa,2cm
2019,10200,male,147.39005994034568,449.01457925586783,449.01457925586783,t250,goa,2cm
2019,10200,total,313.2814852857446,888.8763364399119,888.8763364399119,t250,goa,2cm
2019,21720,female,50.3481208956453,161.86637507408295,161.86637507408295,t250,goa,2cm
2019,21720,male,53.45349533221087,162.54071069040873,162.54071069040873,t250,goa,2cm
2019,21720,total,62.851045907354845,192.90421409680943,192.90421409680943,t250,goa,2cm
2019,21740,female,106.09615461261018,245.69575353857417,245.06559160955803,t250,goa,2cm
2019,21740,male,92.55597616031469,161.63402543019052,161.26955952599627,t250,goa,2cm
2019,21740,total,88.89853297599119,182.67408156300397,182.5007639342619,t250,goa,2cm
2019,30060,female,221.2318712744733,411.1618230301006,411.12943162498306,t250,goa,2cm
2019,30060,male,228.5050488321071,297.348882633731,297.3650097195429,t250,goa,2cm
2019,30060,total,338.6460926033716,405.716891474039,405.71849549245144,t250,goa,2cm
2019,30420,female,104.64777141288585,80.12176784887482,80.12176784887482,t250,goa,2cm
2019,30420,male,72.63581766208033,171.55506236815734,171.55506236815734,t250,goa,2cm
2019,30420,total,171.75496449220884,173.48332913722348,173.48332913722348,t250,goa,2cm
2021,10130,female,126.62454799450336,970.7320361972712,970.7320361972712,t250,goa,2cm
2021,10130,male,94.99001236273604,849.189841587801,849.189841587801,t250,goa,2cm
2021,10130,total,208.7116396807847,1396.339704122865,1396.339704122865,t250,goa,2cm
2021,21720,female,150.6348782221669,619.904486127885,619.904486127885,t250,goa,2cm
2021,21720,male,113.54313609733288,536.5068430942734,536.5068430942734,t250,goa,2cm
2021,21720,total,209.1437530231032,878.8943770121818,878.8943770121818,t250,goa,2cm
2021,21740,female,84.11552451719659,233.8583890037193,233.000390368057,t250,goa,2cm
2021,21740,male,77.88352304896353,205.9287012032189,206.07355454720977,t250,goa,2cm
2021,21740,total,86.84484074056067,246.5068181270545,246.23733213832963,t250,goa,2cm
2021,30060,female,194.69440262842,188.7587999171944,188.741780748072,t250,goa,2cm
2021,30060,male,243.68326265037985,173.7330709045079,173.71926422688,t250,goa,2cm
2021,30060,total,360.76604829296144,219.61628740345645,219.60131850539088,t250,goa,2cm
2021,30420,female,104.64462332197822,89.96157321396251,89.96157321396251,t250,goa,2cm
2021,30420,male,112.5507433774638,190.6245571742643,190.6245571742643,t250,goa,2cm
2021,30420,total,206.9995667020509,193.193981203094,193.193981203094,t250,goa,2cm
2017,10110,female,395.99148951188545,1304.9065407296428,1060.4460856259022,t50,goa,5cm
2017,10110,male,171.05043044194153,664.4275085899512,548.1585043057074,t50,goa,5cm
2017,10110,total,513.8535734625262,1565.8664398850533,1333.2068086993538,t50,goa,5cm
2017,10130,female,89.82693800688592,764.4725164468938,543.1253190420751,t50,goa,5cm
2017,10130,male,90.96627618293958,431.2102854013852,338.81604166504286,t50,goa,5cm
2017,10130,total,182.3903027567804,751.5043302768431,616.413012024187,t50,goa,5cm
2017,10200,female,179.8704212221718,421.24927287644266,388.9143245456059,t50,goa,5cm
2017,10200,male,127.98048108741456,152.3880857739356,147.10566719061913,t50,goa,5cm
2017,10200,total,283.4006801618763,379.6713382729387,367.44277051765374,t50,goa,5cm
2017,10261,female,139.28931912714577,314.4697785382747,275.7330831937135,t50,goa,5cm
2017,10261,male,85.54128839905694,141.0386723955481,127.48830861406915,t50,goa,5cm
2017,10261,total,200.02242729592004,341.22324962239645,312.7231187959543,t50,goa,5cm
2017,21720,female,90.75386361323918,254.2388100463075,246.51767330561023,t50,goa,5cm
2017,21720,male,70.58500293968078,206.8808040332031,200.79208929506393,t50,goa,5cm
2017,21720,total,125.60371827282486,302.91304767065816,297.08803040716555,t50,goa,5cm
2017,21740,female,15.327483914571484,21.587848529746314,20.996789705812457,t50,goa,5cm
2017,21740,male,18.124029821380105,21.95677046677724,21.570794997697707,t50,goa,5cm
2017,21740,total,18.75177270229294,25.53822882469909,25.28316066010624,t50,goa,5cm
2017,30060,female,203.22928695621937,146.41969476379072,129.6165488113458,t50,goa,5cm
2017,30060,male,177.81996179460234,73.13199012166898,70.12083149415182,t50,goa,5cm
2017,30060,total,334.5860360265084,136.49908340070104,129.650921065584,t50,goa,5cm
2017,30420,female,112.08438958647118,22.22123986828097,20.94914270806455,t50,goa,5cm
2017,30420,male,95.10633549661505,84.25987955285585,62.66348684926764,t50,goa,5cm
2017,30420,total,196.7614207683027,50.79619830690136,46.70308718036186,t50,goa,5cm
2019,10110,female,386.93200282298466,1834.6625676354424,1521.6373380009943,t50,goa,5cm
2019,10110,male,236.04686445307763,1110.7115690570142,880.1635863434434,t50,goa,5cm
2019,10110,total,582.7924614146858,2078.4463003691367,1815.7792439362472,t50,goa,5cm
2019,10130,female,84.90328828963828,403.0221805429088,345.17589999820694,t50,goa,5cm
2019,10130,male,72.99213576471088,204.43404436255503,192.24462894016287,t50,goa,5cm
2019,10130,total,141.05550867772098,354.9691584993828,335.90573321222024,t50,goa,5cm
2019,10200,female,208.15090328719165,444.20017901738066,409.1288668167627,t50,goa,5cm
2019,10200,male,157.88835656608126,283.9634846259173,265.5761068211842,t50,goa,5cm
2019,10200,total,343.42895960290656,512.7833748017509,488.4650324941551,t50,goa,5cm
2019,21720,female,52.07556109351196,75.32620523468394,68.46739742656604,t50,goa,5cm
