year,species_code,comp_type,iss_age,base_iss_length,sub_iss_length,sub_samp,region
2013,21740,female,65.99372251097016,166.52118403432073,145.67948573730413,t50,goa
2013,21740,male,65.39187421237912,151.49336790701946,133.4300317914146,t50,goa
2013,21740,total,70.44995731945644,174.12290664527694,162.78947208945675,t50,goa
2013,30060,female,155.2996831019645,457.2576770481003,313.7024193552701,t50,goa
2013,30060,male,135.06570225688603,511.65895169050646,372.1050970778262,t50,goa
2013,30060,total,248.52808643882904,692.1243775885777,534.4265993637778,t50,goa
2013,30420,female,92.68564888017136,83.86486180640767,51.72761448754685,t50,goa
2013,30420,male,80.37063072741664,78.52442210937309,43.220309252618776,t50,goa
2013,30420,total,157.09579399946156,128.83674085424133,82.82310733539094,t50,goa
2015,10180,female,100.48480001628484,446.7242672044896,406.10019414855503,t50,goa
2015,10180,male,83.73327036267332,494.7055267313314,442.6321749636316,t50,goa
2015,10180,total,174.46344150677476,849.7837486243103,777.4009138201881,t50,goa
2015,21720,female,109.58901089430016,1114.7580266612877,752.1533174062832,t50,goa
2015,21720,male,97.9960456108284,1149.853130142988,754.766700598871,t50,goa
2015,21720,total,138.4495121990587,1545.614594556043,1149.3591928099909,t50,goa
2015,21740,female,96.9182114744388,450.9555446303171,327.4045694920947,t50,goa
2015,21740,male,81.0600616735337,369.7910581190193,271.2911815326312,t50,goa
2015,21740,total,102.56336629391171,472.19203974911966,391.6592823261137,t50,goa
2015,30060,female,131.9120700021253,489.1915466630954,355.5618944121473,t50,goa
2015,30060,male,133.69818323998982,529.7623213360044,393.19368855676186,t50,goa
2015,30060,total,228.9187944344412,660.2058633648116,537.6911065450811,t50,goa
2015,30420,female,105.21134256658152,170.84980771748255,117.18869128921236,t50,goa
2015,30420,male,68.15312633693576,100.76797089302158,76.91455127601658,t50,goa
2015,30420,total,161.14156905940698,252.1353768943735,186.43932499953,t50,goa
1990,10110,female,90.81501011616284,2803.2999122034903,1830.5645963526256,t50,goa
1990,10110,male,35.991082006999704,1614.5449572794164,922.4255715113284,t50,goa
1990,10110,total,106.06043170638677,3772.267972283968,2502.268800698463,t50,goa
1990,10130,female,31.436546768505995,1159.248361769196,762.3992347339873,t50,goa
1990,10130,male,25.52761081460026,944.2439308928348,651.5600189487404,t50,goa
1990,10130,total,62.65058607270097,1759.7206077329397,1250.1185322311542,t50,goa
1990,10200,female,51.96948807106526,871.3614204833569,755.7389115662736,t50,goa
1990,10200,male,33.18729948299122,512.8697200951128,459.1430494898004,t50,goa
1990,10200,total,84.45709110530896,1255.6609292462344,1125.7588973411248,t50,goa
1993,10110,female,237.5552236196495,5709.571404778919,3688.70901470627,t50,goa
1993,10110,male,147.18541744170693,2338.543951472394,1544.8150820062976,t50,goa
1993,10110,total,351.7382938853156,7251.988040647983,4916.906337295945,t50,goa
1993,10130,female,61.092720486297615,1114.3029162917146,760.4656772663752,t50,goa
1993,10130,male,41.04014557487646,844.6047456881811,591.692930918545,t50,goa
1993,10130,total,100.72857546952211,2013.7726739216955,1379.663623084146,t50,goa
1993,10200,female,43.0019514742572,1805.677333893932,1435.9020116872762,t50,goa
1993,10200,male,32.72096289930848,945.1654463780368,769.9611501197274,t50,goa
1993,10200,total,63.04392131937636,2314.7766061076804,1898.6207274301855,t50,goa
1996,10110,female,199.8234393131984,5199.074352955586,3360.5347722766455,t50,goa
1996,10110,male,114.17536283690832,2156.3699636803535,1401.105226188368,t50,goa
1996,10110,total,294.1382388466606,6187.062624119568,4249.4716604424975,t50,goa
1996,10130,female,98.29468061206582,1811.9841928639576,1212.9790410362568,t50,goa
1996,10130,male,66.75218680517216,1409.4608093811862,1006.7518197035184,t50,goa
1996,10130,total,149.95616102924342,3033.6095715561955,2138.29903931561,t50,goa
1996,10200,female,78.28013091427717,1444.83146627013,1293.4137595127947,t50,goa
1996,10200,male,48.52514200126574,1081.9290065803557,946.2190295316132,t50,goa
1996,10200,total,122.05635813692771,2152.272026568087,1932.2917237245529,t50,goa
1996,10261,female,26.357316725311502,805.0260910724833,557.8874610807144,t50,goa
1996,10261,male,17.307401783034926,323.2754799139213,232.66988187520715,t50,goa
1996,10261,total,44.795014973472114,629.816919333318,508.7638893180323,t50,goa
1996,10262,female,45.29659001651542,1417.0361038942826,1170.7115912382708,t50,goa
1996,10262,male,32.12869271095533,402.6983857162281,315.07271540898773,t50,goa
1996,10262,total,68.0437271968683,1671.3690236902037,1388.0279132500225,t50,goa
1999,10110,female,241.22726400093387,5214.516966525033,3239.059324721624,t50,goa
1999,10110,male,162.4993486818407,2738.173859365407,1622.7676131573637,t50,goa
1999,10110,total,364.9477192760908,6749.085590149938,4387.909979131344,t50,goa
1999,10130,female,120.32957114488944,1572.9917972471835,908.728172210251,t50,goa
1999,10130,male,89.10728271750642,1297.131631607317,766.8602160779797,t50,goa
1999,10130,total,176.07265730957243,2508.4681725434652,1541.357717499415,t50,goa
1999,10200,female,78.90495053929969,1415.743086210574,1168.280761527467,t50,goa
1999,10200,male,72.3050942485178,1028.5046284032296,866.9279767415048,t50,goa
1999,10200,total,146.20636479184614,1951.3690210724913,1680.0776442345189,t50,goa
1999,10261,female,69.58762973522903,320.33128296719286,233.8603768130842,t50,goa
1999,10261,male,43.75905955519437,301.18998253738147,195.6671469067677,t50,goa
1999,10261,total,102.55374061434344,494.80834060159754,367.71922685089146,t50,goa
1999,10262,female,84.04729626222742,1425.6913330882276,1164.2422296741313,t50,goa
1999,10262,male,48.60116739271488,371.6082226857378,308.1547107755804,t50,goa
